,date,ticker,return,mkt_rf,smb,hml,rmw,cma,rf,excess_return
713,2019-02-28,USMV,0.03829502122447814,0.0342,0.0172,-0.026600000000000002,0.0016,-0.0154,0.0018,0.03649502122447814
714,2019-03-31,USMV,0.027137089241876522,0.011000000000000001,-0.0352,-0.0414,0.0088,-0.009000000000000001,0.0019,0.025237089241876523
715,2019-04-30,USMV,0.021768835089467586,0.0397,-0.0115,0.0213,0.0161,-0.0218,0.0021,0.019668835089467585
716,2019-05-31,USMV,-0.016145232438795842,-0.0692,-0.015600000000000001,-0.0245,-0.0048,0.0176,0.0021,-0.018245232438795844
717,2019-06-30,USMV,0.0498352290862738,0.0699,0.0019,-0.0064,0.0045000000000000005,-0.0055000000000000005,0.0018,0.0480352290862738
718,2019-07-31,USMV,0.016685692718865663,0.012199999999999999,-0.0182,0.005,-0.0013,0.0037,0.0019,0.014785692718865663
719,2019-08-31,USMV,0.01593388631575099,-0.0255,-0.0325,-0.04769999999999999,0.0053,-0.0062,0.0016,0.014333886315750988
720,2019-09-30,USMV,0.00983685302979298,0.014199999999999999,0.0029,0.0676,0.0182,0.0338,0.0018,0.00803685302979298
721,2019-10-31,USMV,-0.002340070913700698,0.0207,0.0025,-0.0192,0.0043,-0.0103,0.0015,-0.003840070913700698
722,2019-11-30,USMV,0.013917098693118524,0.0387,0.0039000000000000003,-0.02,-0.016399999999999998,-0.011399999999999999,0.0012,0.012717098693118524
723,2019-12-31,USMV,0.017732920027148324,0.0276,0.009899999999999999,0.0173,0.0005,0.011899999999999999,0.0014000000000000002,0.016332920027148326
724,2020-01-31,USMV,0.023475167399889862,-0.0009,-0.0437,-0.0622,-0.011899999999999999,-0.0219,0.0013,0.022175167399889863
725,2020-02-29,USMV,-0.08742887907316599,-0.0815,0.0008,-0.0382,-0.0143,-0.0253,0.0012,-0.088628879073166
726,2020-03-31,USMV,-0.11301075408761108,-0.1335,-0.0818,-0.1383,-0.0161,0.011899999999999999,0.0012,-0.11421075408761108
727,2020-04-30,USMV,0.09368640810623297,0.1358,0.025699999999999997,-0.0134,0.0276,-0.0102,0.0,0.09368640810623297
728,2020-05-31,USMV,0.04316903316634346,0.0559,0.0192,-0.05,0.0096,-0.0316,0.0001,0.04306903316634346
729,2020-06-30,USMV,-0.011110168587135316,0.024399999999999998,0.0195,-0.0217,0.0014000000000000002,0.0055000000000000005,0.0001,-0.011210168587135316
730,2020-07-31,USMV,0.045686875188162945,0.0583,-0.0319,-0.0144,0.0038,0.0097,0.0001,0.04558687518816294
731,2020-08-31,USMV,0.027286948825881785,0.0762,-0.0089,-0.0302,0.042699999999999995,-0.0151,0.0001,0.027186948825881786
732,2020-09-30,USMV,-0.016651436556771593,-0.0364,-0.0001,-0.027200000000000002,-0.0138,-0.019299999999999998,0.0001,-0.016751436556771592
733,2020-10-31,USMV,-0.032480741988852646,-0.0208,0.0467,0.0425,-0.0077,-0.005699999999999999,0.0001,-0.03258074198885265
734,2020-11-30,USMV,0.08092777385419225,0.1244,0.0712,0.0209,-0.0225,0.0128,0.0001,0.08082777385419225
735,2020-12-31,USMV,0.02307846302966765,0.0463,0.0493,-0.0168,-0.0197,-0.0006,0.0001,0.02297846302966765
736,2021-01-31,USMV,-0.02725407090542442,-0.0007000000000000001,0.0681,0.0322,-0.0365,0.049699999999999994,0.0,-0.02725407090542442
737,2021-02-28,USMV,-0.0037859925699660346,0.0281,0.045,0.07200000000000001,0.0033,-0.0199,0.0,-0.0037859925699660346
738,2021-03-31,USMV,0.05608381781819616,0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,0.05608381781819616
739,2021-04-30,USMV,0.03988988897393386,0.049699999999999994,-0.0316,-0.0102,0.024300000000000002,-0.027200000000000002,0.0,0.03988988897393386
740,2021-05-31,USMV,0.008756030173296292,0.0029,0.0127,0.0704,0.023399999999999997,0.0301,0.0,0.008756030173296292
741,2021-06-30,USMV,0.01716221946810581,0.0273,-0.003,-0.0786,-0.021400000000000002,-0.009300000000000001,0.0,0.01716221946810581
742,2021-07-31,USMV,0.03545732294487669,0.0134,-0.0455,-0.0179,0.055,-0.0059,0.0,0.03545732294487669
743,2021-08-31,USMV,0.01876144617757758,0.029500000000000002,-0.0066,-0.0023,-0.0026,-0.0172,0.0,0.01876144617757758
744,2021-09-30,USMV,-0.049870340091319854,-0.044000000000000004,0.011200000000000002,0.0512,-0.0192,0.02,0.0,-0.049870340091319854
745,2021-10-31,USMV,0.05510203762067545,0.0663,-0.027000000000000003,-0.0053,0.0171,-0.0154,0.0,0.05510203762067545
746,2021-11-30,USMV,-0.020502844475370097,-0.0158,-0.017,-0.0037,0.0719,0.017,0.0,-0.020502844475370097
747,2021-12-31,USMV,0.06842862898909874,0.032400000000000005,-0.0078000000000000005,0.0325,0.048799999999999996,0.0429,0.0001,0.06832862898909874
748,2022-01-31,USMV,-0.059827145629852474,-0.061500000000000006,-0.0401,0.1286,0.0077,0.07730000000000001,0.0,-0.059827145629852474
749,2022-02-28,USMV,-0.030633684037462028,-0.022799999999999997,0.0286,0.030600000000000002,-0.0203,0.030299999999999997,0.0,-0.030633684037462028
750,2022-03-31,USMV,0.055811182109087865,0.0308,-0.021099999999999997,-0.019,-0.015,0.0321,0.0,0.055811182109087865
751,2022-04-30,USMV,-0.05337119103542187,-0.0941,-0.0034999999999999996,0.061799999999999994,0.0341,0.0592,0.0,-0.05337119103542187
752,2022-05-31,USMV,0.00040867680348233293,-0.0033,-0.0003,0.08439999999999999,0.0155,0.0395,0.0003,0.00010867680348233296
753,2022-06-30,USMV,-0.041318298540335974,-0.084,0.013300000000000001,-0.06,0.0176,-0.0458,0.0006,-0.04191829854033598
754,2022-07-31,USMV,0.05127436587814094,0.09570000000000001,0.0178,-0.0415,0.0077,-0.06849999999999999,0.0008,0.050474365878140935
755,2022-08-31,USMV,-0.031567228265269365,-0.0377,0.0149,0.0018,-0.0478,0.0132,0.0019,-0.033467228265269364
756,2022-09-30,USMV,-0.07074624077918912,-0.0934,-0.0097,0.0003,-0.0137,-0.0077,0.0019,-0.07264624077918912
757,2022-10-31,USMV,0.0770044571613322,0.0786,0.0181,0.0797,0.0327,0.0643,0.0023,0.0747044571613322
758,2022-11-30,USMV,0.057170926151456136,0.046900000000000004,-0.0275,0.0148,0.063,0.0315,0.0029,0.054270926151456136
759,2022-12-31,USMV,-0.037522294332661965,-0.0638,-0.0019,0.0134,0.0032,0.042800000000000005,0.0033,-0.04082229433266196
760,2023-01-31,USMV,0.01525666516577262,0.0659,0.043899999999999995,-0.0394,-0.0242,-0.0443,0.0034999999999999996,0.01175666516577262
761,2023-02-28,USMV,-0.03497242103855436,-0.025699999999999997,0.0058,-0.008,0.0097,-0.0151,0.0034000000000000002,-0.03837242103855436
762,2023-03-31,USMV,0.034463159975900215,0.024900000000000002,-0.0689,-0.09050000000000001,0.0227,-0.021,0.0036,0.030863159975900216
763,2023-04-30,USMV,0.014847406073742242,0.0063,-0.025699999999999997,-0.0012,0.0242,0.0285,0.0034999999999999996,0.011347406073742242
764,2023-05-31,USMV,-0.032240449576746766,0.0033,-0.0043,-0.0779,-0.0178,-0.0708,0.0036,-0.035840449576746765
765,2023-06-30,USMV,0.04451086218876088,0.0646,0.0128,-0.0013,0.0232,-0.0154,0.004,0.04051086218876088
766,2023-07-31,USMV,0.013857100859269167,0.0321,0.0286,0.0406,-0.0059,0.0066,0.0045000000000000005,0.009357100859269166
767,2023-08-31,USMV,-0.006369513252224568,-0.0236,-0.0365,-0.0115,0.0335,-0.0241,0.0045000000000000005,-0.010869513252224568
